project_match_id,member_count,source_count,sources,country_iso3,year,member_record_keys,group_basis
PM-8986E0AFFF7A9E,2,2,aiddata|chapo,NER,2005,aiddata:58570|chapo:58570,direct_reference
PM-A79BF2A9BB6976,2,2,aiddata|chapo,NER,2006,aiddata:21265|chapo:21265,direct_reference
PM-CD424981034FEC,2,2,aiddata|chapo,NER,2006,aiddata:32796|chapo:32796,direct_reference
PM-E89E8B96AE3CA8,2,2,aiddata|chapo,NER,2007,aiddata:35695|chapo:35695,direct_reference
PM-86CFDA8EA16328,2,2,aiddata|chapo,NER,2008,aiddata:58572|chapo:58572,direct_reference
PM-9020E4230579E0,2,2,aiddata|chapo,NER,2008,aiddata:21243|chapo:21243,direct_reference
PM-481997DC5F9B37,2,2,aiddata|chapo,NER,2009,aiddata:60813|chapo:60813,direct_reference
PM-561191291697FE,2,2,aiddata|chapo,NER,2009,aiddata:15643|chapo:15643,direct_reference
PM-C6F194FF3574DC,2,2,aiddata|chapo,NER,2009,aiddata:32660|chapo:32660,direct_reference
PM-1D33AA3825FBB5,2,2,aiddata|chapo,NER,2010,aiddata:58573|chapo:58573,direct_reference
PM-28A4FA4B5086BF,2,2,aiddata|chapo,NER,2010,aiddata:21286|chapo:21286,direct_reference
PM-B28F323544B42F,2,2,aiddata|chapo,NER,2010,aiddata:35694|chapo:35694,direct_reference
PM-7842858727B729,4,4,aiddata|cgef|cla|codf,NER,2011,aiddata:256|cgef:NE.003|cla:NE.003|codf:NE.003,human_confirmed
PM-A6009F33A9D610,2,2,aiddata|chapo,NER,2011,aiddata:21273|chapo:21273,direct_reference
PM-DA0B0439DFE562,4,2,aiddata|chapo,NER,2011,aiddata:32724|aiddata:58576|chapo:32724|chapo:58576,human_confirmed
PM-64F6C560FFDBB4,2,2,aiddata|chapo,NER,2012,aiddata:58578|chapo:58578,direct_reference
PM-B0EC2FEB1165E8,2,2,aiddata|chapo,NER,2012,aiddata:32673|chapo:32673,direct_reference
PM-E06073AD75442E,2,2,cla|codf,NER,2012,cla:NE.004|codf:NE.004,automatic_high_confidence
PM-E751ABE92C9CE7,2,2,aiddata|chapo,NER,2012,aiddata:58381|chapo:58381,direct_reference
