candidate_id,left_record_key,right_record_key,country_iso3,year,similarity,status,review_decision,method,left_title,right_title
MC-0A3577183105C7,aiddata:92076,chapo:92076,SSD,2019,1,direct_reference,confirmed_by_source_id,source_cross_reference,"Chinese Government funds Phase 2 of Rumbek Kiir Mayardit Women's Hospital Technical Cooperation Project (Linked to Record ID#53331, #47301, #58594, and #53336)",Gov't funds phase 2 of women's hospital technical cooperation project
MC-0A3E978E4C2B38,cla:EG.013,codf:EG.013,EGY,2016,1.0,auto_high_confidence,,normalized_title_sequence_token_v1,Bolster Foreign Exchange Reserves,Bolster Foreign Exchange Reserves
MC-0A6612C94D7B53,aiddata:93282,chapo:93282,NGA,2020,1,direct_reference,confirmed_by_source_id,source_cross_reference,China Civil Engineering Construction Corporation provides two COVID-19 response facilities to Nigeria (Linked to Record ID#93020),Construction corporation provided 2 Covid response facilities
MC-0A8A8F8DE20DF3,aiddata:88102,chapo:88102,TZA,2018,1,direct_reference,confirmed_by_source_id,source_cross_reference,Chinese government provides medical scholarships to 20 Tanzanian healthcare professionals,Gov't provided med. scholarships to Tanzanian healthcare professionals
MC-0AE233EC8F8404,aiddata:59130,chapo:59130,MLI,2008,1,direct_reference,confirmed_by_source_id,source_cross_reference,China donates medical equipment to Bamako General Hospital in Mali (Linked to Record ID#1505),China donated med. equipment to Bamako general hospital
MC-0AFE6057A08872,cla:ZM.116,codf:ZM.116,ZMB,2018,1.0,reviewed,same_project,normalized_title_sequence_token_v1,Defense Project,Defense Project
MC-0B11AEC0AC1AED,aiddata:71824,chapo:71824,SDN,2010,1,direct_reference,confirmed_by_source_id,source_cross_reference,"Chinese Embassy in Sudan grants $35,350 USD for First Abu Ushar Friendship Hospital Reconstruction and Expansion Project (Linked to Record ID#53415, #30435, #53314, and #71822)",Embassy grants for friendship hospital reconstruction & expansion
MC-0B17FB0A652847,aiddata:96797,chapo:96797,ZAF,2018,1,direct_reference,confirmed_by_source_id,source_cross_reference,China Construction Bank contributes to ZAR 6 billion loan facility to Aspen Pharmacare for refinancing and general corporate purposes (Linked to Record ID#96798),Bank contributes to loan facility to Aspen Pharmacare
MC-0B30ABCA4711EE,cgef:GH.015.02,cla:GH.015.02,GHA,2012,1.0,reviewed,same_project,normalized_title_sequence_token_v1,"Western Corridor Gas Infrastructure Project, Jubilee Oil Field","Western Corridor Gas Infrastructure Project, Jubilee Oil Field"
MC-0B47CCE32233B8,aiddata:12324,chapo:12324,BDI,2007,1,direct_reference,confirmed_by_source_id,source_cross_reference,Chinese Government provides RMB 1 million grant for first batch of anti-malarial drugs,Gov't provides grant for anti-Malarial drugs
MC-0B5DD8833B2EC0,cgef:ET.090,codf:ET.090,ETH,2008,1.0,reviewed,same_project,normalized_title_sequence_token_v1,"Bahir Dar-Debre Markos-Addis Ababa Power Transmission Project (400kV), Lot 3A","Bahir Dar-Debre Markos-Addis Ababa Power Transmission Project (400kV), Lot 3A"
MC-0B7D7F0213414F,aiddata:35678,chapo:35678,TZA,2001,1,direct_reference,confirmed_by_source_id,source_cross_reference,China sends 19th Medical Team to Zanzibar,Gov't sent 19th team to Zanzibar
MC-0B94759CE35C10,cgef:CD.006.47,cla:CD.006.47,COD,2016,1.0,auto_high_confidence,,normalized_title_sequence_token_v1,"Study, Supply and Installation Contract for 5,000 Solar Poles and Accessories","Study, Supply and Installation Contract for 5,000 Solar Poles and Accessories"
MC-0B9DEADE243783,aiddata:91912,chapo:91912,MDG,2020,1,direct_reference,confirmed_by_source_id,source_cross_reference,Chinese Government donates the third batch of anti-COVID-19 pandemic medical supplies to Madagascar in August 2020 (linked to Record ID#91877 and 91915),Gov't donated 3rd batch Covid-19 med. supplies
MC-0B9FE88CCDBAE8,aiddata:93500,chapo:93500,ZAF,2020,1,direct_reference,confirmed_by_source_id,source_cross_reference,People's Liberation Army donates medical protective gear to the South African National Defence Force (SANDF) in March 2020 (linked to Record ID#93502 and 93501),PLA donated med. protective gear to the SANDF
MC-0BB1A58973FA0F,cgp:ET.003.3,cla:ET.007,ETH,2009,1,direct_reference,confirmed_by_source_id,source_cross_reference,Genale-Dawa III Hydropower Plant,Genale-Dawa III Hydropower Plant (254MW)
MC-0BB8A7C186C696,aiddata:88025,chapo:88025,TZA,2018,1,direct_reference,confirmed_by_source_id,source_cross_reference,Chinese Embassy donates ambulances to Ipamba Hospital in Tanzania,Embassy donated ambulances to Ipamba hospital in Tanzania
MC-0BD6DEC8D04BE8,aiddata:1562,chapo:1562,TGO,2007,1,direct_reference,confirmed_by_source_id,source_cross_reference,Chinese Government dispatches 17th medical team to Lomé-Commune Health District Hospital and Kara Regional Hospital,Gov't dispatched 17th team to hospitals
MC-0BE0FED467B6DA,aiddata:62731,chapo:62731,SLE,2013,1,direct_reference,confirmed_by_source_id,source_cross_reference,China donates anti-malarial drugs worth 2 million Yuan to Sierra Leone,China donated anti-Malarial drugs
MC-0BEED6A3EE467A,cgef:AO.089.47,cla:AO.089.47,AGO,2016,1.0,reviewed,same_project,normalized_title_sequence_token_v1,"Cabinda City Electrification (20,000 Household Connections)","Cabinda City Electrification (30,000 Household Connections)"
